商户编号K3,商户编号,商户名称,,店铺编号K3,店铺编号,店铺名称,,店铺类型,联系人,城市,原商户编号K3,原商户名称K3,原店铺编号CRM,备注
1.SZ0095,SZ0095,深圳市宝安区新安名门美容美发店,客户---1.SZ0095---深圳市宝安区新安名门美容美发店,1.SZ0095002,SZ0095002,名门美容美发（裕安店）,客户---1.SZ0095002---名门美容美发（裕安店）,,董金兵,深圳,440306201412002001,深圳市宝安区新安名门美容美发店(董金兵),229,
1.SZ0096,SZ0096,深圳市宝安区新安你型我秀美发店,客户---1.SZ0096---深圳市宝安区新安你型我秀美发店,1.SZ0096001,SZ0096001,你型我秀,客户---1.SZ0096001---你型我秀,,康盼盼,深圳,440306201412005801,深圳市宝安区新安你型我秀美发店(康盼盼),367,
1.SZ0097,SZ0097,深圳市宝安区新安乔尼亚护肤造型会所,客户---1.SZ0097---深圳市宝安区新安乔尼亚护肤造型会所,1.SZ0097001,SZ0097001,乔尼亚护肤造型会所（建安店）,客户---1.SZ0097001---乔尼亚护肤造型会所（建安店）,,王鸿,深圳,440306201412006401,深圳市宝安区新安乔尼亚护肤造型会所,418,
1.SZ0098,SZ0098,深圳市宝安区新安尚都壹叁美容美发店,客户---1.SZ0098---深圳市宝安区新安尚都壹叁美容美发店,1.SZ0098001,SZ0098001,美丽华壹叁,客户---1.SZ0098001---美丽华壹叁,,张庆国,深圳,440306201412001901,深圳市宝安区新安尚都壹叁美容美发店(张庆国),226,
1.SZ0099,SZ0099,深圳市宝安区新安特美美容美发店,客户---1.SZ0099---深圳市宝安区新安特美美容美发店,1.SZ0099001,SZ0099001,特美丝美业（固戍南昌新村店）,客户---1.SZ0099001---特美丝美业（固戍南昌新村店）,,许恰,深圳,440306201412005401,深圳市宝安区新安特美美容美发店(许恰),350,
1.SZ0099,SZ0099,深圳市宝安区新安特美美容美发店,客户---1.SZ0099---深圳市宝安区新安特美美容美发店,1.SZ0099002,SZ0099002,特美丝美业连锁（翻身路）,客户---1.SZ0099002---特美丝美业连锁（翻身路）,,许恰,深圳,440306201412005401,深圳市宝安区新安特美美容美发店(许恰),352,
1.SZ0099,SZ0099,深圳市宝安区新安特美美容美发店,客户---1.SZ0099---深圳市宝安区新安特美美容美发店,1.SZ0099003,SZ0099003,特美丝美业（西乡店第一分店）,客户---1.SZ0099003---特美丝美业（西乡店第一分店）,,许恰,深圳,440306201412005401,深圳市宝安区新安特美美容美发店(许恰),353,
1.SZ0099,SZ0099,深圳市宝安区新安特美美容美发店,客户---1.SZ0099---深圳市宝安区新安特美美容美发店,1.SZ0099004,SZ0099004,特美丝美业（固戍二路第二分店）,客户---1.SZ0099004---特美丝美业（固戍二路第二分店）,,许恰,深圳,440306201412005401,深圳市宝安区新安特美美容美发店(许恰),354,
1.SZ0100,SZ0100,深圳市宝安区新安永琪品贵美容美发店,客户---1.SZ0100---深圳市宝安区新安永琪品贵美容美发店,1.SZ0100001,SZ0100001,永琪美容美发（上川店）,客户---1.SZ0100001---永琪美容美发（上川店）,,王银,深圳,440306201412000401,深圳市宝安区新安永琪品贵美容美发店(王银),145,
1.SZ0101,SZ0101,深圳市宝安区新安羽轩造型设计店,客户---1.SZ0101---深圳市宝安区新安羽轩造型设计店,1.SZ0101001,SZ0101001,羽轩造型,客户---1.SZ0101001---羽轩造型,,张伟铭,深圳,440306201501003501,深圳市宝安区新安羽轩造型设计店(张伟铭),584,
1.SZ0102,SZ0102,深圳市博宝利供应链股份有限公司,客户---1.SZ0102---深圳市博宝利供应链股份有限公司,1.SZ0102001,SZ0102001,博宝利（松岗天虹店）,客户---1.SZ0102001---博宝利（松岗天虹店）,,万宝,深圳,440306201412005001,深圳市博宝利供应链股份有限公司(万宝),322,
1.SZ0102,SZ0102,深圳市博宝利供应链股份有限公司,客户---1.SZ0102---深圳市博宝利供应链股份有限公司,1.SZ0102002,SZ0102002,博宝利（松岗店）,客户---1.SZ0102002---博宝利（松岗店）,,万宝,深圳,440306201412005001,深圳市博宝利供应链股份有限公司(万宝),338,
1.SZ0102,SZ0102,深圳市博宝利供应链股份有限公司,客户---1.SZ0102---深圳市博宝利供应链股份有限公司,1.SZ0102003,SZ0102003,博宝利（布吉国都店）,客户---1.SZ0102003---博宝利（布吉国都店）,,万宝,深圳,440306201412005001,深圳市博宝利供应链股份有限公司(万宝),339,
1.SZ0102,SZ0102,深圳市博宝利供应链股份有限公司,客户---1.SZ0102---深圳市博宝利供应链股份有限公司,1.SZ0102004,SZ0102004,博宝利（泰华豪园店）,客户---1.SZ0102004---博宝利（泰华豪园店）,,万宝,深圳,440306201412005001,深圳市博宝利供应链股份有限公司(万宝),341,
1.SZ0102,SZ0102,深圳市博宝利供应链股份有限公司,客户---1.SZ0102---深圳市博宝利供应链股份有限公司,1.SZ0102005,SZ0102005,博宝利（圣源华庭店）,客户---1.SZ0102005---博宝利（圣源华庭店）,,万宝,深圳,440306201412005001,深圳市博宝利供应链股份有限公司(万宝),343,
1.SZ0102,SZ0102,深圳市博宝利供应链股份有限公司,客户---1.SZ0102---深圳市博宝利供应链股份有限公司,1.SZ0102006,SZ0102006,博宝利（万科城店）,客户---1.SZ0102006---博宝利（万科城店）,,万宝,深圳,440306201412005001,深圳市博宝利供应链股份有限公司(万宝),345,
1.SZ0103,SZ0103,深圳市帝欧国际美容美发投资管理有限公司,客户---1.SZ0103---深圳市帝欧国际美容美发投资管理有限公司,1.SZ0103001,SZ0103001,帝欧国际（景田店）,客户---1.SZ0103001---帝欧国际（景田店）,,满国余,深圳,440304201412005301,深圳市帝欧国际美容美发投资管理有限公司(满国余),176,
1.SZ0103,SZ0103,深圳市帝欧国际美容美发投资管理有限公司,客户---1.SZ0103---深圳市帝欧国际美容美发投资管理有限公司,1.SZ0103002,SZ0103002,帝欧国际（口岸店）,客户---1.SZ0103002---帝欧国际（口岸店）,,满国余,深圳,440304201412005301,深圳市帝欧国际美容美发投资管理有限公司(满国余),177,
1.SZ0103,SZ0103,深圳市帝欧国际美容美发投资管理有限公司,客户---1.SZ0103---深圳市帝欧国际美容美发投资管理有限公司,1.SZ0103003,SZ0103003,帝欧国际（水围）,客户---1.SZ0103003---帝欧国际（水围）,,满国余,深圳,440304201412005301,深圳市帝欧国际美容美发投资管理有限公司(满国余),178,
1.SZ0104,SZ0104,深圳市蒂芙尼美容美发有限公司,客户---1.SZ0104---深圳市蒂芙尼美容美发有限公司,1.SZ0104001,SZ0104001,蒂芙尼（畅想白石洲）,客户---1.SZ0104001---蒂芙尼（畅想白石洲）,,徐长军,深圳,440305201412005501,深圳市蒂芙尼美容美发有限公司(徐长军),374,
1.SZ0105,SZ0105,深圳市缔美娜美发护肤有限公司,客户---1.SZ0105---深圳市缔美娜美发护肤有限公司,1.SZ0105001,SZ0105001,缔美娜,客户---1.SZ0105001---缔美娜,,马志成,深圳,440306201501003301,深圳市缔美娜美发护肤有限公司(马志成),579,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106001,SZ0106001,卡顿（惠鑫店）,客户---1.SZ0106001---卡顿（惠鑫店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,694,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106002,SZ0106002,卡顿（长荣店）,客户---1.SZ0106002---卡顿（长荣店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,695,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106003,SZ0106003,卡顿（信义店）,客户---1.SZ0106003---卡顿（信义店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,696,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106004,SZ0106004,卡顿（家和盛世店）,客户---1.SZ0106004---卡顿（家和盛世店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,697,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106005,SZ0106005,卡顿（碧湖店）,客户---1.SZ0106005---卡顿（碧湖店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,698,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106006,SZ0106006,卡顿（熙龙店）,客户---1.SZ0106006---卡顿（熙龙店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,699,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106007,SZ0106007,卡顿（凤凰店）,客户---1.SZ0106007---卡顿（凤凰店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,700,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106008,SZ0106008,卡顿（鸿翔店）,客户---1.SZ0106008---卡顿（鸿翔店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,701,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106009,SZ0106009,卡顿（东门店）,客户---1.SZ0106009---卡顿（东门店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,702,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106010,SZ0106010,卡顿（春风店）,客户---1.SZ0106010---卡顿（春风店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,703,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106011,SZ0106011,卡顿（翠竹店）,客户---1.SZ0106011---卡顿（翠竹店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,704,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106012,SZ0106012,卡顿（喜荟城店）,客户---1.SZ0106012---卡顿（喜荟城店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,705,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106013,SZ0106013,卡顿（红桂店）,客户---1.SZ0106013---卡顿（红桂店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,706,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106014,SZ0106014,卡顿（佳宁娜店）,客户---1.SZ0106014---卡顿（佳宁娜店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,707,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106015,SZ0106015,卡顿（彩田店）,客户---1.SZ0106015---卡顿（彩田店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,708,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106016,SZ0106016,卡顿（福华店）,客户---1.SZ0106016---卡顿（福华店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,709,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106017,SZ0106017,卡顿（群星店）,客户---1.SZ0106017---卡顿（群星店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,710,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106018,SZ0106018,卡顿（振华店）,客户---1.SZ0106018---卡顿（振华店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,711,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106019,SZ0106019,卡顿（华强店）,客户---1.SZ0106019---卡顿（华强店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,712,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106020,SZ0106020,卡顿（皇岗店）,客户---1.SZ0106020---卡顿（皇岗店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,713,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106021,SZ0106021,卡顿（梅华店）,客户---1.SZ0106021---卡顿（梅华店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,714,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106022,SZ0106022,卡顿（上沙店）,客户---1.SZ0106022---卡顿（上沙店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,715,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106023,SZ0106023,卡顿（泰然店）,客户---1.SZ0106023---卡顿（泰然店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,716,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106024,SZ0106024,卡顿（中信店）,客户---1.SZ0106024---卡顿（中信店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,717,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106025,SZ0106025,卡顿（水围店）,客户---1.SZ0106025---卡顿（水围店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,718,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106026,SZ0106026,卡顿（鸿福店）,客户---1.SZ0106026---卡顿（鸿福店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,719,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106027,SZ0106027,卡顿（新洲店）,客户---1.SZ0106027---卡顿（新洲店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,720,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106028,SZ0106028,卡顿（南油店）,客户---1.SZ0106028---卡顿（南油店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,721,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106029,SZ0106029,卡顿（海雅店）,客户---1.SZ0106029---卡顿（海雅店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,722,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106030,SZ0106030,卡顿（东滨店）,客户---1.SZ0106030---卡顿（东滨店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,723,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106031,SZ0106031,卡顿（海德店）,客户---1.SZ0106031---卡顿（海德店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,724,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106032,SZ0106032,卡顿（麒麟店）,客户---1.SZ0106032---卡顿（麒麟店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,725,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106033,SZ0106033,卡顿（常兴店）,客户---1.SZ0106033---卡顿（常兴店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,726,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106034,SZ0106034,卡顿（沙河店）,客户---1.SZ0106034---卡顿（沙河店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,727,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106035,SZ0106035,卡顿（西丽店）,客户---1.SZ0106035---卡顿（西丽店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,728,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106036,SZ0106036,卡顿（建安店）,客户---1.SZ0106036---卡顿（建安店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,729,
1.SZ0106,SZ0106,深圳市恩特美容美发管理有限公司,客户---1.SZ0106---深圳市恩特美容美发管理有限公司,1.SZ0106037,SZ0106037,卡顿（民治店）,客户---1.SZ0106037---卡顿（民治店）,,深圳市恩特美容美发管理有限公司,深圳,44030820150100010,深圳市恩特美容美发管理有限公司,730,
1.SZ0107,SZ0107,深圳市发秀丽都投资发展有限公司,客户---1.SZ0107---深圳市发秀丽都投资发展有限公司,1.SZ0107001,SZ0107001,发秀丽都（前海店）,客户---1.SZ0107001---发秀丽都（前海店）,,孙晓睿,深圳,440305201501000201,深圳市发秀丽都投资发展有限公司(孙晓睿),437,
1.SZ0107,SZ0107,深圳市发秀丽都投资发展有限公司,客户---1.SZ0107---深圳市发秀丽都投资发展有限公司,1.SZ0107002,SZ0107002,发秀丽都（南航店）,客户---1.SZ0107002---发秀丽都（南航店）,,孙晓睿,深圳,440305201501000201,深圳市发秀丽都投资发展有限公司(孙晓睿),438,
1.SZ0107,SZ0107,深圳市发秀丽都投资发展有限公司,客户---1.SZ0107---深圳市发秀丽都投资发展有限公司,1.SZ0107003,SZ0107003,发秀丽都（蛇口店）,客户---1.SZ0107003---发秀丽都（蛇口店）,,孙晓睿,深圳,440305201501000201,深圳市发秀丽都投资发展有限公司(孙晓睿),439,
1.SZ0107,SZ0107,深圳市发秀丽都投资发展有限公司,客户---1.SZ0107---深圳市发秀丽都投资发展有限公司,1.SZ0107004,SZ0107004,发秀丽都（东滨店）,客户---1.SZ0107004---发秀丽都（东滨店）,,孙晓睿,深圳,440305201501000201,深圳市发秀丽都投资发展有限公司(孙晓睿),440,
1.SZ0107,SZ0107,深圳市发秀丽都投资发展有限公司,客户---1.SZ0107---深圳市发秀丽都投资发展有限公司,1.SZ0107005,SZ0107005,发秀丽都（后海店）,客户---1.SZ0107005---发秀丽都（后海店）,,孙晓睿,深圳,440305201501000201,深圳市发秀丽都投资发展有限公司(孙晓睿),441,
1.SZ0108,SZ0108,深圳市发之道形象设计有限公司,客户---1.SZ0108---深圳市发之道形象设计有限公司,1.SZ0108001,SZ0108001,发之道,客户---1.SZ0108001---发之道,,谭宏,深圳,440304201412004701,深圳市发之道形象设计有限公司(谭宏),144,
1.SZ0109,SZ0109,深圳市菲皇健康管理有限公司,客户---1.SZ0109---深圳市菲皇健康管理有限公司,1.SZ0109001,SZ0109001,菲皇美发沙龙,客户---1.SZ0109001---菲皇美发沙龙,,陈水华,深圳,440304201501000301,深圳市菲皇健康管理有限公司(陈水华),505,
1.SZ0110,SZ0110,深圳市福田区北美发沙龙,客户---1.SZ0110---深圳市福田区北美发沙龙,1.SZ0110001,SZ0110001,北新概念沙龙,客户---1.SZ0110001---北新概念沙龙,,李海北,深圳,440304201412003401,深圳市福田区北美发沙龙(李海北),102,
1.SZ0111,SZ0111,深圳市福田区波尔发艺名店,客户---1.SZ0111---深圳市福田区波尔发艺名店,1.SZ0111001,SZ0111001,波尔发艺名店,客户---1.SZ0111001---波尔发艺名店,,张兴华,深圳,440304201412003001,深圳市福田区波尔发艺名店(张兴华),90,
1.SZ0112,SZ0112,深圳市福田区超群实丽发艺名店,客户---1.SZ0112---深圳市福田区超群实丽发艺名店,1.SZ0112001,SZ0112001,优美熙护肤造型,客户---1.SZ0112001---优美熙护肤造型,,张超群/覃拥军/郭永华,深圳,440304201501000501,深圳市福田区超群实丽发艺名店(张超群/覃拥军/郭永华),531,
1.SZ0112,SZ0112,深圳市福田区超群实丽发艺名店,客户---1.SZ0112---深圳市福田区超群实丽发艺名店,1.SZ0112002,SZ0112002,空中领袖会,客户---1.SZ0112002---空中领袖会,,张超群/覃拥军/郭永华,深圳,440304201501000501,深圳市福田区超群实丽发艺名店(张超群/覃拥军/郭永华),535,
1.SZ0113,SZ0113,深圳市福田区城市达人理发店,客户---1.SZ0113---深圳市福田区城市达人理发店,1.SZ0113001,SZ0113001,格调意境（赛格店）,客户---1.SZ0113001---格调意境（赛格店）,,谢望文,深圳,440304201412000701,深圳市福田区城市达人理发店(谢望文),20,
1.SZ0113,SZ0113,深圳市福田区城市达人理发店,客户---1.SZ0113---深圳市福田区城市达人理发店,1.SZ0113002,SZ0113002,格调意境（布吉店）,客户---1.SZ0113002---格调意境（布吉店）,,谢望文,深圳,440304201412000701,深圳市福田区城市达人理发店(谢望文),21,
1.SZ0114,SZ0114,深圳市福田区创意堂美发店,客户---1.SZ0114---深圳市福田区创意堂美发店,1.SZ0114001,SZ0114001,创意Salon（御景店）,客户---1.SZ0114001---创意Salon（御景店）,,唐波,深圳,440304201412005501,深圳市福田区创意堂美发店(唐波),283,
1.SZ0114,SZ0114,深圳市福田区创意堂美发店,客户---1.SZ0114---深圳市福田区创意堂美发店,1.SZ0114002,SZ0114002,创意Salon（巴登店）,客户---1.SZ0114002---创意Salon（巴登店）,,唐波,深圳,440304201412005501,深圳市福田区创意堂美发店(唐波),285,
1.SZ0114,SZ0114,深圳市福田区创意堂美发店,客户---1.SZ0114---深圳市福田区创意堂美发店,1.SZ0114003,SZ0114003,创意Salon（下沙店）,客户---1.SZ0114003---创意Salon（下沙店）,,唐波,深圳,440304201412005501,深圳市福田区创意堂美发店(唐波),286,
1.SZ0114,SZ0114,深圳市福田区创意堂美发店,客户---1.SZ0114---深圳市福田区创意堂美发店,1.SZ0114004,SZ0114004,创意Salon（友谊店）,客户---1.SZ0114004---创意Salon（友谊店）,,唐波,深圳,440304201412005501,深圳市福田区创意堂美发店(唐波),287,
1.SZ0115,SZ0115,深圳市福田区春天88造型美发店,客户---1.SZ0115---深圳市福田区春天88造型美发店,1.SZ0115001,SZ0115001,CT造型,客户---1.SZ0115001---CT造型,,吴进春,深圳,440304201412004001,深圳市福田区春天88造型美发店(吴进春),110,
1.SZ0116,SZ0116,深圳市福田区东怡名剪发轩,客户---1.SZ0116---深圳市福田区东怡名剪发轩,1.SZ0116001,SZ0116001,东怡名剪,客户---1.SZ0116001---东怡名剪,,邓年强,深圳,440304201412004201,深圳市福田区东怡名剪发轩(邓年强),118,
1.SZ0117,SZ0117,深圳市福田区都市女神专业美发店,客户---1.SZ0117---深圳市福田区都市女神专业美发店,1.SZ0117001,SZ0117001,都市女神,客户---1.SZ0117001---都市女神,,谢英俊,深圳,440304201412004101,深圳市福田区都市女神专业美发店(谢英俊),114,
1.SZ0118,SZ0118,深圳市福田区多加多美容美发中心,客户---1.SZ0118---深圳市福田区多加多美容美发中心,1.SZ0118001,SZ0118001,梦娜美容美发,客户---1.SZ0118001---梦娜美容美发,,沈祥,深圳,440304201501000901,深圳市福田区多加多美容美发中心(沈祥),544,
1.SZ0118,SZ0118,深圳市福田区多加多美容美发中心,客户---1.SZ0118---深圳市福田区多加多美容美发中心,1.SZ0118002,SZ0118002,多伦多美容美发,客户---1.SZ0118002---多伦多美容美发,,沈祥,深圳,440304201501000901,深圳市福田区多加多美容美发中心(沈祥),545,
1.SZ0119,SZ0119,深圳市福田区发缘发型设计室,客户---1.SZ0119---深圳市福田区发缘发型设计室,1.SZ0119001,SZ0119001,发缘发型设计,客户---1.SZ0119001---发缘发型设计,,金涛,深圳,440304201412001801,深圳市福田区发缘发型设计室(金涛),72,
1.SZ0120,SZ0120,深圳市福田区福中娜娜美发厅,客户---1.SZ0120---深圳市福田区福中娜娜美发厅,1.SZ0120001,SZ0120001,娜娜（福田店）,客户---1.SZ0120001---娜娜（福田店）,,邱建勇,深圳,440304201412003501,深圳市福田区福中娜娜美发厅(邱建勇),105,
1.SZ0121,SZ0121,深圳市福田区好莱屋型像工作室,客户---1.SZ0121---深圳市福田区好莱屋型像工作室,1.SZ0121001,SZ0121001,好莱屋,客户---1.SZ0121001---好莱屋,,彭军,深圳,440304201501001201,深圳市福田区好莱屋型像工作室(彭军),568,
1.SZ0122,SZ0122,深圳市福田区华之都美容美发中心,客户---1.SZ0122---深圳市福田区华之都美容美发中心,1.SZ0122001,SZ0122001,华之都美容美发店,客户---1.SZ0122001---华之都美容美发店,,周义刚,深圳,440304201412000601,深圳市福田区华之都美容美发中心(周义刚),22,
1.SZ0123,SZ0123,深圳市福田区嘉星发型店,客户---1.SZ0123---深圳市福田区嘉星发型店,1.SZ0123001,SZ0123001,嘉星发型（新洲店）,客户---1.SZ0123001---嘉星发型（新洲店）,,廖树华,深圳,440304201412000801,深圳市福田区嘉星发型店(廖树华),26,
1.SZ0124,SZ0124,深圳市福田区经典主作美发店,客户---1.SZ0124---深圳市福田区经典主作美发店,1.SZ0124001,SZ0124001,classics经典主作,客户---1.SZ0124001---classics经典主作,,何伟,深圳,440304201412005101,深圳市福田区经典主作美发店(何伟),161,
1.SZ0125,SZ0125,深圳市福田区景田永琪美容美发店,客户---1.SZ0125---深圳市福田区景田永琪美容美发店,1.SZ0125001,SZ0125001,永琪美发店（振华路）,客户---1.SZ0125001---永琪美发店（振华路）,,李东波,深圳,440304201412005401,深圳市福田区景田永琪美容美发店(李东波),179,
1.SZ0125,SZ0125,深圳市福田区景田永琪美容美发店,客户---1.SZ0125---深圳市福田区景田永琪美容美发店,1.SZ0125002,SZ0125002,永琪美容美发（红荔路）,客户---1.SZ0125002---永琪美容美发（红荔路）,,李东波,深圳,440304201412005401,深圳市福田区景田永琪美容美发店(李东波),181,
