商户编号K3,商户编号,商户名称,,店铺编号K3,店铺编号,店铺名称,,店铺类型,联系人,城市,原商户编号K3,原商户名称K3,原店铺编号CRM,备注
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011003,SZ0011003,柏锜护肤造型SPA会所（南山店）,客户---1.SZ0011003---柏锜护肤造型SPA会所（南山店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),197,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011004,SZ0011004,雅琪美容美发（宝利豪庭店）,客户---1.SZ0011004---雅琪美容美发（宝利豪庭店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),200,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011005,SZ0011005,柏琪美容美发（松岗店）,客户---1.SZ0011005---柏琪美容美发（松岗店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),202,
1.SZ0012,SZ0012,深圳市宝安区宝城莎丽美发店,客户---1.SZ0012---深圳市宝安区宝城莎丽美发店,1.SZ0012001,SZ0012001,莎丽润容,客户---1.SZ0012001---莎丽润容,,鲍怀勇,深圳,440306201412002201,深圳市宝安区宝城莎丽美发店(鲍怀勇),232,
1.SZ0013,SZ0013,深圳市宝安区宝城羽壹发廊,客户---1.SZ0013---深圳市宝安区宝城羽壹发廊,1.SZ0013001,SZ0013001,羽壹发廊（宝安店）,客户---1.SZ0013001---羽壹发廊（宝安店）,,邱伟村,深圳,440306201412000701,深圳市宝安区宝城羽壹发廊,182,
1.SZ0014,SZ0014,深圳市宝安区宝城正大发艺发廊,客户---1.SZ0014---深圳市宝安区宝城正大发艺发廊,1.SZ0014001,SZ0014001,正大发艺,客户---1.SZ0014001---正大发艺,,李浪,深圳,440306201412004801,深圳市宝安区宝城正大发艺发廊(李浪),311,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015001,SZ0015001,彩轩（新和店）,客户---1.SZ0015001---彩轩（新和店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),294,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015002,SZ0015002,彩轩（松岗店）,客户---1.SZ0015002---彩轩（松岗店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),296,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015003,SZ0015003,彩轩（桥头店）,客户---1.SZ0015003---彩轩（桥头店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),298,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015004,SZ0015004,彩轩（芳华店）,客户---1.SZ0015004---彩轩（芳华店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),301,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015005,SZ0015005,彩轩（白石厦店）,客户---1.SZ0015005---彩轩（白石厦店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),302,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015006,SZ0015006,彩轩（沙井店）,客户---1.SZ0015006---彩轩（沙井店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),303,
1.SZ0016,SZ0016,深圳市宝安区福永超级偶像理发店,客户---1.SZ0016---深圳市宝安区福永超级偶像理发店,1.SZ0016001,SZ0016001,超级偶像,客户---1.SZ0016001---超级偶像,,徐庆亮,深圳,440306201501003201,深圳市宝安区福永超级偶像理发店(徐庆亮),577,
1.SZ0017,SZ0017,深圳市宝安区福永蒂丝形象工作室理发店,客户---1.SZ0017---深圳市宝安区福永蒂丝形象工作室理发店,1.SZ0017001,SZ0017001,蒂丝形象工作室,客户---1.SZ0017001---蒂丝形象工作室,,吕斌,深圳,440306201501003401,深圳市宝安区福永蒂丝形象工作室理发店(吕斌),581,
1.SZ0018,SZ0018,深圳市宝安区福永发源烫染理发店,客户---1.SZ0018---深圳市宝安区福永发源烫染理发店,1.SZ0018001,SZ0018001,发之源（光明圳美）,客户---1.SZ0018001---发之源（光明圳美）,,黄红卫,深圳,440306201501005401,深圳市宝安区福永发源烫染理发店（黄红卫）,733,
1.SZ0018,SZ0018,深圳市宝安区福永发源烫染理发店,客户---1.SZ0018---深圳市宝安区福永发源烫染理发店,1.SZ0018002,SZ0018002,发之源（福永新和）,客户---1.SZ0018002---发之源（福永新和）,,黄红卫,深圳,440306201501005401,深圳市宝安区福永发源烫染理发店（黄红卫）,734,
1.SZ0019,SZ0019,深圳市宝安区福永光头佬发艺园地,客户---1.SZ0019---深圳市宝安区福永光头佬发艺园地,1.SZ0019001,SZ0019001,福永光头佬发艺园地（总店）,客户---1.SZ0019001---福永光头佬发艺园地（总店）,,李超,深圳,440306201412002401,深圳市宝安区福永光头佬发艺园地(李超),239,
1.SZ0019,SZ0019,深圳市宝安区福永光头佬发艺园地,客户---1.SZ0019---深圳市宝安区福永光头佬发艺园地,1.SZ0019002,SZ0019002,光头佬发艺（二分店）,客户---1.SZ0019002---光头佬发艺（二分店）,,李超,深圳,440306201412002401,深圳市宝安区福永光头佬发艺园地(李超),242,
1.SZ0019,SZ0019,深圳市宝安区福永光头佬发艺园地,客户---1.SZ0019---深圳市宝安区福永光头佬发艺园地,1.SZ0019003,SZ0019003,光头佬发艺（八分店）,客户---1.SZ0019003---光头佬发艺（八分店）,,李超,深圳,440306201412002401,深圳市宝安区福永光头佬发艺园地(李超),243,
1.SZ0019,SZ0019,深圳市宝安区福永光头佬发艺园地,客户---1.SZ0019---深圳市宝安区福永光头佬发艺园地,1.SZ0019004,SZ0019004,光头佬发艺（松岗店）,客户---1.SZ0019004---光头佬发艺（松岗店）,,李超,深圳,440306201412002401,深圳市宝安区福永光头佬发艺园地(李超),246,
1.SZ0020,SZ0020,深圳市宝安区福永韩浪理发店,客户---1.SZ0020---深圳市宝安区福永韩浪理发店,1.SZ0020001,SZ0020001,韩派,客户---1.SZ0020001---韩派,,常二林,深圳,440306201501006201,深圳市宝安区福永韩浪理发店(常二林),741,
1.SZ0021,SZ0021,深圳市宝安区福永精灵理发店,客户---1.SZ0021---深圳市宝安区福永精灵理发店,1.SZ0021001,SZ0021001,纤艺,客户---1.SZ0021001---纤艺,,熊蕾,深圳,440306201501001501,深圳市宝安区福永精灵理发店(熊蕾),508,
1.SZ0022,SZ0022,深圳市宝安区福永凌派理发店,客户---1.SZ0022---深圳市宝安区福永凌派理发店,1.SZ0022001,SZ0022001,凌派发艺,客户---1.SZ0022001---凌派发艺,,蓝必生,深圳,440306201501002001,深圳市宝安区福永凌派理发店(蓝必生),540,
1.SZ0022,SZ0022,深圳市宝安区福永凌派理发店,客户---1.SZ0022---深圳市宝安区福永凌派理发店,1.SZ0022002,SZ0022002,纤手,客户---1.SZ0022002---纤手,,蓝必生,深圳,440306201501002001,深圳市宝安区福永凌派理发店(蓝必生),541,
1.SZ0023,SZ0023,深圳市宝安区福永零距离发型设计,客户---1.SZ0023---深圳市宝安区福永零距离发型设计,1.SZ0023001,SZ0023001,零距离,客户---1.SZ0023001---零距离,,袁家彬,深圳,440306201412002801,深圳市宝安区福永零距离发型设计(袁家彬),248,
1.SZ0024,SZ0024,深圳市宝安区福永美丽出口理发店,客户---1.SZ0024---深圳市宝安区福永美丽出口理发店,1.SZ0024001,SZ0024001,美丽出口（总店）,客户---1.SZ0024001---美丽出口（总店）,,陈东海,深圳,440306201412003101,深圳市宝安区福永美丽出口理发店(陈东海),254,
1.SZ0024,SZ0024,深圳市宝安区福永美丽出口理发店,客户---1.SZ0024---深圳市宝安区福永美丽出口理发店,1.SZ0024002,SZ0024002,美丽出口（二分店）,客户---1.SZ0024002---美丽出口（二分店）,,陈东海,深圳,440306201412003101,深圳市宝安区福永美丽出口理发店(陈东海),255,
1.SZ0025,SZ0025,深圳市宝安区福永梦莎莎理发店,客户---1.SZ0025---深圳市宝安区福永梦莎莎理发店,1.SZ0025001,SZ0025001,莎莎（福永店）,客户---1.SZ0025001---莎莎（福永店）,,卓湖香,深圳,440306201412003001,深圳市宝安区福永梦莎莎理发店(卓湖香),252,
1.SZ0026,SZ0026,深圳市宝安区福永天涯发社美发店,客户---1.SZ0026---深圳市宝安区福永天涯发社美发店,1.SZ0026001,SZ0026001,天涯发社和平店,客户---1.SZ0026001---天涯发社和平店,,何建平,深圳,440306201501004601,深圳市宝安区福永天涯发社美发店(何建平),643,
1.SZ0026,SZ0026,深圳市宝安区福永天涯发社美发店,客户---1.SZ0026---深圳市宝安区福永天涯发社美发店,1.SZ0026002,SZ0026002,聚彩美发,客户---1.SZ0026002---聚彩美发,,何建平,深圳,440306201501004601,深圳市宝安区福永天涯发社美发店(何建平),644,
1.SZ0026,SZ0026,深圳市宝安区福永天涯发社美发店,客户---1.SZ0026---深圳市宝安区福永天涯发社美发店,1.SZ0026003,SZ0026003,发源地聚彩连锁,客户---1.SZ0026003---发源地聚彩连锁,,何建平,深圳,440306201501004601,深圳市宝安区福永天涯发社美发店(何建平),645,
1.SZ0027,SZ0027,深圳市宝安区福永卫起点理发店,客户---1.SZ0027---深圳市宝安区福永卫起点理发店,1.SZ0027001,SZ0027001,起点造型（福永店）,客户---1.SZ0027001---起点造型（福永店）,,吴强强,深圳,440306201501001901,深圳市宝安区福永卫起点理发店(吴强强),528,
1.SZ0028,SZ0028,深圳市宝安区福永谢演发城理发店,客户---1.SZ0028---深圳市宝安区福永谢演发城理发店,1.SZ0028001,SZ0028001,演发城,客户---1.SZ0028001---演发城,,谢海来,深圳,440306201501002601,深圳市宝安区福永谢演发城理发店(谢海来),560,
1.SZ0029,SZ0029,深圳市宝安区福永徐艮红本色理发店,客户---1.SZ0029---深圳市宝安区福永徐艮红本色理发店,1.SZ0029001,SZ0029001,本色美发沙龙,客户---1.SZ0029001---本色美发沙龙,,胡伟,深圳,440306201501004001,深圳市宝安区福永徐艮红本色理发店(胡伟),495,
1.SZ0029,SZ0029,深圳市宝安区福永徐艮红本色理发店,客户---1.SZ0029---深圳市宝安区福永徐艮红本色理发店,1.SZ0029002,SZ0029002,首艺美发沙龙,客户---1.SZ0029002---首艺美发沙龙,,胡伟,深圳,440306201501004001,深圳市宝安区福永徐艮红本色理发店(胡伟),496,
1.SZ0029,SZ0029,深圳市宝安区福永徐艮红本色理发店,客户---1.SZ0029---深圳市宝安区福永徐艮红本色理发店,1.SZ0029003,SZ0029003,丝艺美发沙龙,客户---1.SZ0029003---丝艺美发沙龙,,胡伟,深圳,440306201501004001,深圳市宝安区福永徐艮红本色理发店(胡伟),497,
1.SZ0030,SZ0030,深圳市宝安区福永徐红平理发店,客户---1.SZ0030---深圳市宝安区福永徐红平理发店,1.SZ0030001,SZ0030001,东尼造型,客户---1.SZ0030001---东尼造型,,徐红平,深圳,440306201501000901,深圳市宝安区福永徐红平理发店(徐红平),512,
1.SZ0030,SZ0030,深圳市宝安区福永徐红平理发店,客户---1.SZ0030---深圳市宝安区福永徐红平理发店,1.SZ0030002,SZ0030002,KK发艺,客户---1.SZ0030002---KK发艺,,徐红平,深圳,440306201501000901,深圳市宝安区福永徐红平理发店(徐红平),513,
1.SZ0030,SZ0030,深圳市宝安区福永徐红平理发店,客户---1.SZ0030---深圳市宝安区福永徐红平理发店,1.SZ0030003,SZ0030003,型阁美容美发,客户---1.SZ0030003---型阁美容美发,,徐红平,深圳,440306201501000901,深圳市宝安区福永徐红平理发店(徐红平),514,
1.SZ0031,SZ0031,深圳市宝安区福永艺典尚发艺,客户---1.SZ0031---深圳市宝安区福永艺典尚发艺,1.SZ0031001,SZ0031001,典尚发艺,客户---1.SZ0031001---典尚发艺,,柴应朝,深圳,440306201412006201,深圳市宝安区福永艺典尚发艺(柴应朝),413,
1.SZ0032,SZ0032,深圳市宝安区福永朱能华新印象理发店,客户---1.SZ0032---深圳市宝安区福永朱能华新印象理发店,1.SZ0032001,SZ0032001,新印象理发店,客户---1.SZ0032001---新印象理发店,,朱能华,深圳,440306201412002701,深圳市宝安区福永朱能华新印象理发店(朱能华),245,
1.SZ0033,SZ0033,深圳市宝安区公明名师名店理发店,客户---1.SZ0033---深圳市宝安区公明名师名店理发店,1.SZ0033001,SZ0033001,美艺造型精致烫染,客户---1.SZ0033001---美艺造型精致烫染,,吴忠清,深圳,440306201501005601,深圳市宝安区公明名师名店理发店(吴忠清),760,
1.SZ0034,SZ0034,深圳市宝安区观澜星光大道发廊,客户---1.SZ0034---深圳市宝安区观澜星光大道发廊,1.SZ0034001,SZ0034001,星光大道,客户---1.SZ0034001---星光大道,,甘清才,深圳,440306201412000501,深圳市宝安区观澜星光大道发廊(甘清才),167,
1.SZ0035,SZ0035,深圳市宝安区龙华傲美理发店,客户---1.SZ0035---深圳市宝安区龙华傲美理发店,1.SZ0035001,SZ0035001,傲美美发名店（油松店）,客户---1.SZ0035001---傲美美发名店（油松店）,,陈洪兴,深圳,440306201501004201,深圳市宝安区龙华傲美理发店(陈洪兴),478,
1.SZ0035,SZ0035,深圳市宝安区龙华傲美理发店,客户---1.SZ0035---深圳市宝安区龙华傲美理发店,1.SZ0035002,SZ0035002,傲美美发名店（锦绣江南店）,客户---1.SZ0035002---傲美美发名店（锦绣江南店）,,陈洪兴,深圳,440306201501004201,深圳市宝安区龙华傲美理发店(陈洪兴),479,
1.SZ0035,SZ0035,深圳市宝安区龙华傲美理发店,客户---1.SZ0035---深圳市宝安区龙华傲美理发店,1.SZ0035003,SZ0035003,傲美美发名店（金地梅龙镇店）,客户---1.SZ0035003---傲美美发名店（金地梅龙镇店）,,陈洪兴,深圳,440306201501004201,深圳市宝安区龙华傲美理发店(陈洪兴),480,
1.SZ0036,SZ0036,深圳市宝安区龙华精剪名艺理发店,客户---1.SZ0036---深圳市宝安区龙华精剪名艺理发店,1.SZ0036001,SZ0036001,名艺廊,客户---1.SZ0036001---名艺廊,,李宜寿,深圳,440306201501002201,深圳市宝安区龙华精剪名艺理发店(李宜寿),548,
1.SZ0037,SZ0037,深圳市宝安区龙华名阁发艺发廊,客户---1.SZ0037---深圳市宝安区龙华名阁发艺发廊,1.SZ0037001,SZ0037001,名阁发艺,客户---1.SZ0037001---名阁发艺,,杨文清,深圳,440306201501005701,深圳市宝安区龙华名阁发艺发廊(杨文清),761,
1.SZ0038,SZ0038,深圳市宝安区龙华名艺发廊,客户---1.SZ0038---深圳市宝安区龙华名艺发廊,1.SZ0038001,SZ0038001,名艺美发,客户---1.SZ0038001---名艺美发,,傅元金,深圳,440306201412006501,深圳市宝安区龙华名艺发廊(傅元金),423,
